제품명,주성분,이 약의 효능은 무엇입니까?,이 약은 어떻게 사용합니까?,이 약은 어떻게 보관해야 합니까?
코비안에스시럽,클로르페니라민말레산염|페닐레프린염산염,이 약은 감기또는알레르기성및혈관운동성비염(코염)에의한재채기|콧물|코막힘|눈물과부비동염에의한비충혈(코막힘)의일시적완화에사용합니다.,만12세이상소아및성인은4시간마다10mL씩복용하되|24시간동안60mL를초과하지마십시오.만6세이상~12세미만은4시간마다5mL씩복용하되|24시간동안30mL를초과하지마십시오.만2세이상~6세미만은의사의지시에따르십시오.,습기와빛을 피해 실온에서 보관하십시오
코비안에스정,클로르페니라민말레산염|페닐레프린염산염,이 약은 감기또는알레르기성및혈관운동성비염(코염)에의한재채기|콧물|코막힘|눈물과부비동염에의한비충혈(코막힘)의일시적완화에사용합니다.,만12세이상소아및성인은4시간마다1정씩복용하되|24시간동안6정을초과하지마십시오.만6세이상~12세미만은4시간마다1/2정씩복용하되|24시간동안3정을초과하지마십시오.만6세미만은의사의지시에따르십시오.,상온에서 보관하십시오
코스빌연질캡슐(덱시부프로펜),덱시부프로펜,이 약은 만성다발성관절염|류마티스관절염|관절증|강직척추염|외상및수술후통증성부종또는염증|염증|통증및발열을수반하는감염증의치료보조에사용합니다.,성인은1회1캡슐(300mg)씩|1일2~4회복용합니다.단|1일4캡슐(1|200mg)을초과하지않습니다.,습기와빛을 피해 실온에서 보관하십시오
코스펜에이시럽,트리프롤리딘염산염|슈도에페드린염산염,이 약은 코감기|알레르기및혈관운동성코염에의한재채기|콧물|코막힘|눈물의완화에사용합니다.,성인및12세이상의소아는1회10mL를 1일3회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
코스펜정,슈도에페드린염산염|트리프롤리딘염산염수화물,이 약은 코감기|알레르기및혈관운동성코염에의한재채기|콧물|코막힘|눈물의완화에사용합니다.,성인은1회1정|소아(12~14세)는1회1/2정을1일3회매식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
코애드정,아세트아미노펜|슈도에페드린염산염|클로르페니라민말레산염,이 약은 감기의여러증상(콧물|코막힘|재채기|인후통|오한|발열|두통|관절통|근육통)의완화에사용합니다.,성인은1회1정씩|1일3회식후30분에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
코애탁나잘스프레이액(염화나트륨),염화나트륨,이 약은 코점막분비물또는화농(곪음)성으로인한코막힘에비강(코안)세척과비점막건조증상의완화에사용합니다.,필요시2~3시간마다성인은1~8회|영아는1회| 1개월~12개월은 1~2회|1세~2세는1~3회|2세~5세는 1~4회| 5세~8세는1~5회| 8세~12세는1~6회 분무(뿌림)합니다.연령대별권장용량은허가사항을참고하십시오.액이후두나인두로흘러들어가지않도록옆으로비스듬히눕거나일어선상태로머리를기울여서사용합니다.,열기를피해상온에서 보관하십시오사용기한이지난제품은사용하지마십시오.
코엔드에프캡슐,클로르페니라민말레산염|벨라돈나총알칼로이드|페닐레프린염산염,이 약은 코감기(급성비염)|알레르기성비염또는부비강염에의한코막힘|콧물|재채기|눈물|목의통증|머리무거움완화에사용합니다.,15세이상및성인은1회1캡슐씩1일3회|매식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
코엔큐연질캡슐(수출명:CAROLBICSOFTCAPSULE),β카로틴현탁액30%|토코페롤아세테이트|아스코르브산|셀레늄가루0.1%|유비데카레논|산화아연,이 약은 육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시|노년기의비타민A|C|E의보급과눈의건조감의완화|야맹증(밤에잘못보는증상)|햇빛·피부병등에의한색소침착(기미|주근깨)의완화|잇몸출혈·비출혈(코피)예방|말초혈행장애및갱년기시어깨·목결림|수족(손발)저림·수족냉증(손발이차가움)증상의완화와아연의보급에사용합니다.,성인은1회1캡슐씩|1일2회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
코자미연질캡슐(디펜히드라민염산염),디펜히드라민염산염,이 약은 일시적불면증의완화에사용합니다.,성인은1일1회1캡슐(50mg)을취침전복용합니다.개인에따라1캡슐(50mg)복용시과도한진정작용이나타날경우1/2캡슐(25mg)을취침전복용합니다.,상온에서 보관하십시오
코졸텍정(세티리진염산염),세티리진염산염,이 약은 계절성및다년성알레르기성비염|알레르기성결막염|만성특발성두드러기|피부소양증과 하이드로코티손외용제와병용에의한습진|피부염에사용합니다.,성인및6세이상의소아는1일1회1정(10mg)을취침전에복용하고|이상반응에민감한환자의경우는1/2정(5mg)씩을아침|저녁에분할복용합니다.연령|증상에따라적절히증감합니다.신장애환자의투여간격은환자의신기능에따라조절되어야하고|신장애를가진소아환자는환자의신청소율과체중을고려하여개별적으로용량을조절해야하므로자세한사항은허가사항을참고하십시오.,상온에서 보관하십시오
코코페디시럽(덱시부프로펜),덱시부프로펜,이 약은 급성상기도감염으로인한발열시해열에사용합니다.,생후6개월이상의소아는1회0.4~0.6mL/kg(5~7mg/kg)의용량을4~6시간간격으로필요시에복용하며|1일최대4회(28mg/kg)를넘지않습니다.체중이30kg이하인소아에게는1일최대25mL(300mg)을초과하지않습니다.연령대별 권장용량은허가사항을참고하십시오.,빛을피해상온(15~25℃)에서보관하십시오.
코큐민연질캡슐,베타카로틴30%현탁액|토코페롤아세테이트|아스코르브산|셀레늄0.1%가루|유비데카레논(코엔자임Q10)|산화아연,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후의체력저하시|노년기의비타민A|C|E의보급과눈의건조감의완화|야맹증|햇빛ㆍ피부병등에의한색소침착(기미|주근깨)의완화|잇몸출혈ㆍ비출혈예방|말초혈행장애및갱년기시어깨ㆍ목결림|수족(손발)저림ㆍ수족냉증(손발이차가움)증상의완화와아연의보급에사용합니다.,성인은1회1캡슐씩|1일2회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
코큐비타엠정,아스코르브산과립|유비데카레논|셀레늄함유건조효모|건조레티놀아세테이트|콜레칼시페롤과립|토코페롤아세테이트2배산|폴산|티아민질산염|리보플라빈|니코틴산아미드|피리독신염산염|시아노코발라민|판토텐산칼슘|요오드화칼륨|푸마르산철|산화아연|황산망간수화물|황산칼륨,이 약은 육체피로|임신·수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민A|D|E|B1|B2|B6|C의보급과눈의건조감의완화|야맹증(밤에잘못보는증상)|뼈|이의발육불량|구루병의예방|철결핍성빈혈의예방및치료와아연의보급에사용합니다.,만8세이상및성인은1회1정씩|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
코큐텐비타알부엑스정,농축비타민A분말(합성)|농축콜레칼시페롤분말|니코틴산아미드|리보플라빈3배산|산화마그네슘|산화아연|시아노코발라민1000배산|아스코르브산97%과립|유비데카레논|토코페롤아세테이트2배산|티아민질산염3배산|푸마르산철|피리독신염산염3배산,이 약은 육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민A|B1|B2|B6|C|D|E의보급및눈의건조감의완화|야맹증(밤에잘못보는증상)|뼈|이의발육불량|구루병의예방|철결핍성빈혈의예방및치료에사용합니다.,만8세이상및성인은1회1정|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
코큐텐비타알부정,건조레티놀아세테이트분말|에르고칼시페롤과립|토코페롤아세테이트2배산|아스코르브산90%과립|티아민질산염3배산|리보플라빈3배산|피리독신염산염3배산|니코틴산아미드|시아노코발라민1000배산|유비데카레논|푸마르산철|산화마그네슘|황산망간수화물|산화아연|무수황산제이구리,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민A|B1|B2|B6|C|D|E의보급과눈의건조감의완화|야맹증(밤에잘못보는증상)|뼈|이의발육불량|구루병의예방과철결핍성빈혈의예방및치료에사용합니다.,성인은1회1정씩|1일1회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
코큐헬씨타민연질캡슐,유비데카레논|셀레늄함유건조효모|레티놀팔미테이트|농축콜레칼시페롤유|토코페롤아세테이트|아스코르브산|폴산|티아민질산염|리보플라빈|니코틴산아미드|피리독신염산염|시아노코발라민|판토텐산칼슘|요오드화칼륨|푸마르산철|산화제이구리|산화아연|황산망간수화물|황산칼륨|크롬함유건조효모|산화마그네슘,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민A|D|E|B1|B2|B6|C의보급과눈의건조감의완화|야맹증(밤에잘못보는증상)|뼈|이의발육불량|구루병의예방과철결핍성빈혈의예방및치료와아연의보급에사용합니다.,성인은1회1캡슐씩|1일1회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
코키즈펜시럽(덱시부프로펜),덱시부프로펜,이 약은 급성상기도감염으로인한발열시해열에사용합니다.,생후6개월이상의소아는1회0.4~0.6mL/kg(5~7mg/kg)씩| 4~6시간간격으로필요시 복용하며|1일최대4회(28mg/kg)를넘지않습니다.체중이30kg이하인소아는1일최대25mL(300mg)을초과하지않습니다.연령대별1회권장용량은허가사항을참고하십시오.,빛을피해상온에서 보관하십시오
코텐비타연질캡슐,레티놀팔미테이트|농축콜레칼시페롤유|토코페롤아세테이트|유비데카레논|아스코르브산|티아민질산염|리보플라빈|니코틴산아미드|피리독신염산염|폴산|시아노코발라민|판토텐산칼슘|셀레늄함유건조효모|크롬함유건조효모|푸마르산철|산화마그네슘|산화아연|산화제이구리|황산망간수화물|요오드화칼륨|황산칼륨,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민A|D|E|B1|B2|B6|C의보급과눈의건조감의완화|야맹증(밤에잘못보는증상)|뼈|이의발육불량|구루병의예방과철결핍성빈혈의예방및치료와아연의보급에사용합니다.,성인은1회1캡슐씩|1일1회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
코텐파워포르테연질캡슐,토코페롤아세테이트|리보플라빈|티아민질산염|폴산|피리독신염산염|시아노코발라민1000배산|아스코르브산|니코틴산아미드|레티놀팔미테이트|농축콜레칼시페롤유|유비데카레논|판토텐산칼슘|푸마르산철|셀레늄함유건조효모|크롬함유건조효모|산화아연|산화제이구리|황산망간수화물|산화마그네슘,이 약은 육체피로|임신·수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민A|B1|B2|B6|C|D|E의보급|눈의건조감의완화|야맹증(밤에잘못보는증상)|뼈|이의발육불량|구루병의예방|아연의보급|철결핍성빈혈의예방및치료에사용합니다.,만8세이상및성인은1회1캡슐씩|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
코트리나캡슐,메퀴타진|벨라돈나총알칼로이드|글리시리진산이칼륨|슈도에페드린염산염|카페인무수물,이 약은 코감기(급성비염)|알레르기성비염또는부비강염에의한코막힘|콧물|재채기|눈물|목의통증|머리무거움완화에사용합니다.,15세이상및성인은1회1캡슐씩1일3회|매식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
코티스포린연고(수출명:CorcinotaffOint.),네오마이신황산염|폴리믹신B황산염|바시트라신아연|히드로코르티손,이 약은 코르티코이드에반응하는2차감염성피부질환에사용합니다.,1일2~4회적당량을환부(질환부위)에얇게바릅니다.이약의치료기간은7일이내로제한합니다.,습기와빛을 피해 실온에서 보관하십시오
코티손로션2.5%(히드로코르티손),히드로코르티손,이 약은 습진ㆍ피부염군|피부가려움|벌레물린데에사용합니다.,사용전잘흔들어섞은후1일1~3회적당량을환부(질환부위)에바르고증상에따라적절히증감합니다.이약의치료기간은7일이내로제한합니다.,상온에서 보관하십시오
코포나시럽에스,덱스트로메토르판브롬화수소산염수화물|dl메틸에페드린염산염|클로르페니라민말레산염|염화암모늄,이 약은 기침|가래에사용합니다.,성인은1회20mL|11세이상~15세미만은1회13mL|8세이상~11세미만은1회10mL|5세이상~8세미만은1회7mL|3세이상~5세미만은1회5mL|2세이상~3세미만은1회4mL를1일3~4회식후및취침시에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
코푸샷시럽,아세트아미노펜|슈도에페드린염산염|펜톡시베린시트르산염|dl메틸에페드린염산염|구아이페네신|카페인무수물,이 약은 감기의여러증상(콧물|코막힘|재채기|인후(목구멍)통|오한(춥고떨리는증상)|발열|두통|관절통|근육통)의완화에사용합니다.,만15세이상은1회1포(20mL)씩|만11세이상~만15세미만은1회⅔포씩|만7세이상~만11세미만은1회½포씩|만3세이상~만7세미만은1회⅓포씩|만2세이상~만3세미만은1회¼포씩|1일3회식후30분에4시간간격을두고복용합니다.,습기와빛을 피해 실온에서 보관하십시오
코푸스탑플러스연질캡슐,구아이페네신|노스카핀염산염수화물|덱스트로메토르판브롬화수소산염수화물|트리메토퀴놀염산염수화물|d클로르페니라민말레산염,이 약은 기침|가래에사용합니다.,성인은1회1캡슐씩|1일3회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
코푸시럽에스,덱스트로메토르판브롬화수소산염수화물|dl메틸에페드린염산염|클로르페니라민말레산염|염화암모늄,이 약은 기침|가래에사용합니다.,성인은1회20mL씩|11세이상~15세미만은1회13mL씩|8세이상~11세미만은1회10mL씩|5세이상~8세미만은1회7mL씩|3세이상~5세미만은1회5mL씩|2세이상~3세미만은1회4mL씩|1일3~4회식후및취침시에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
코푸엔에스시럽,덱스트로메토르판브롬화수소산염수화물|DL메틸에페드린염산염|클로르페니라민말레산염|염화암모늄,이 약은 기침|가래에사용합니다.,성인은1회20mL|11세이상~15세미만은1회13mL|8세이상~11세미만은1회10mL|5세이상~8세미만은1회7mL|3세이상~5세미만은1회5mL|2세이상~3세미만은1회4mL를1일3~4회식후및취침시에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
코푸정에스,덱스트로메토르판브롬화수소산염수화물|dl메틸에페드린염산염|클로르페니라민말레산염|염화암모늄,이 약은 기침|가래에사용합니다.,성인은1회1정씩|1일3~4회식후및취침시복용합니다.,습기와빛을 피해 실온에서 보관하십시오
코푸콜드에스액,향소산연조엑스[3.14→1]|아세트아미노펜|클로르페니라민말레산염,이 약은 감기의여러증상(콧물|코막힘|재채기|인후통|오한|발열|두통|관절통|근육통)의완화에사용합니다.,만15세이상1회1포(75mL)|만11세이상~만15세미만1회2/3포(50mL)|만7세이상~만11세미만1회1/2포(37.5mL)|만3세이상~만7세미만1회1/3포(25mL)|만2세이상~만3세미만1회1/4포(18.7 mL)씩|1일3회식후30분에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
코프패스연질캡슐,dl메틸에페드린염산염|클로르페니라민말레산염|구아이페네신|덱스트로메토르판브롬화수소산염수화물,이 약은 기침|가래에사용합니다.,만15세이상은1회1캡슐씩|1일3회식후30분에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콘드라맥스800정,콘드로이틴설페이트나트륨|감마오리자놀|푸르설티아민|니코틴산아미드|이노시톨|콜린타르타르산염|판토텐산칼슘|시아노코발라민1000배산|피리독신염산염|리보플라빈|농축콜레칼시페롤,이 약은 육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민D|B1|B2|B6의보급에사용합니다.이 약은 함유된비타민등을통해신경통|근육통|관절통(요통|어깨결림등)증상의완화및각기|눈의피로에사용합니다.,만19세이상의성인은1회1정씩|1일1회식후 복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콘드럭알파정,콘드로이틴설페이트나트륨|푸르설티아민|니코틴산아미드|이노시톨|콜린타르타르산염|판토텐산칼슘|시아노코발라민1000배산|피리독신염산염|리보플라빈|감마오리자놀|농축콜레칼시페롤,이 약은 육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민D|B1|B2|B6의보급과신경통|근육통|관절통(요(허리)통|어깨결림등)증상의완화|각기|눈의피로에사용합니다.,만19세이상및성인은1회1정씩|1일1회식후복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콘드로빅300연질캡슐,콘드로이틴설페이트나트륨|푸르설티아민|리보플라빈부티레이트|니코틴산아미드|판토텐산칼슘|피리독신염산염|시아노코발라민|토코페롤아세테이트|γ오리자놀,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|노년기의비타민E|B1|B2|B6의보급과말초혈행장애및갱년기시어깨ㆍ목결림|수족저림ㆍ수족냉증(손발이차가움)증상의완화|신경통|근육통|관절통(요통|어깨결림등)|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화|각기|눈의피로에사용합니다.,만8세이상및성인은1회1캡슐씩|1일2회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콘드로센정,콘드로이틴설페이트나트륨|감마오리자놀|푸르설티아민|니코틴산아미드|피리독신염산염|시아노코발라민1000배산|이노시톨|콜린타르타르산염|판토텐산칼슘|리보플라빈부티레이트,육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시비타민B1|B2|B6의보급|신경통|근육통|관절통(요통|어깨결림등)|각기|눈의피로 완화에사용합니다.,만8세이상및성인은1회1정씩|1일1회식후복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콘드로친정,콘드로이틴설페이트나트륨|티아민질산염|콜레칼시페롤과립,이 약은 육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민D|B1보급또는 뼈|이의발육불량|구루병의예방및신경통|근육통|관절통(요통(허리)|어깨결림등)증상의완화|각기|눈의피로에사용합니다.,만19세이상의성인은1회1정씩|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콘디에스정,콘드로이틴설페이트나트륨|리보플라빈부티레이트|푸르설티아민|니코틴산아미드|판토텐산칼슘|피리독신염산염|이노시톨|시아노코발라민1000배산|감마오리자놀|콜린타르타르산염,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시의비타민B1|B2|B6의보급|신경통|근육통|관절통(요통|어깨결림등)의완화|각기᠊눈의피로에사용합니다.,만8세이상및성인은1회1정씩|1일1회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콘로인캡슐(콘드로이틴설페이트나트륨),콘드로이틴설페이트나트륨,이 약은 경증(가벼운증상)에서중등도의골관절염(퇴행성관절염)에사용합니다.,성인은1회1~2캡슐(400~800mg)을1일2회복용합니다.,빛을 피해 실온에서 보관하십시오
콘맥스정,콘드로이틴설페이트나트륨|벤포티아민|니코틴산아미드|피리독신염산염|판토텐산칼슘|리보플라빈|농축콜레칼시페롤산|메코발라민|이노시톨|산화아연|감마오리자놀,이 약은 육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민D|B1|B2|B6의보급에사용합니다.이 약은 함유된비타민등을통해신경통|근육통|관절통(요통|어깨결림등)증상의완화및뼈|이의발육불량|구루병의예방|각기|눈의피로에사용합니다.이 약은 아연의보급에사용합니다.,만19세이상성인은1회1정씩|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콘비400정,콘드로이틴설페이트나트륨|푸르설티아민|니코틴산아미드|피리독신염산염|판토텐산칼슘|리보플라빈부티레이트|γ오리자놀,이 약은 육체피로|임신∙수유기|병중∙병후(병을앓는동안이나회복후)의체력저하시비타민B1|B2|B6의보급과신경통|근육통|관절통(요통|어깨결림등)증상의완화|각기|눈의피로에사용합니다.,8세이상어린이및성인1회1정씩|1일1회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콘비로600정,콘드로이틴설페이트나트륨|푸르설티아민|니코틴산아미드|이노시톨|콜린타르타르산염|판토텐산칼슘|피리독신염산염|시아노코발라민1000배산|리보플라빈|γ오리자놀|콜레칼시페롤과립,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후의체력저하시|발육기|노년기의비타민D|B1|B2|B6의보급과신경통|근육통|관절통(요통|어깨결림등)증상의완화|각기|눈의피로에사용합니다.,만8세이상어린이및성인은1회1정씩|1일1회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콘센비타연질캡슐,콘드로이틴설페이트나트륨|티아민질산염|토코페롤아세테이트|피리독신염산염|니코틴산아미드|판토텐산칼슘|시아노코발라민1000배산|마늘건조엑스(100→1),이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|노년기의비타민E|B1|B6의보급과말초혈행장애및갱년기시어깨ㆍ목결림|수족저림ㆍ수족냉증(손발이차가움)증상의완화|신경통|근육통|관절통(요통|어깨결림등)|각기|눈의피로증상의완화|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화에사용합니다.,만8세이상어린이및성인은1회1캡슐씩|1일2회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콘센비타프리미엄800정,콘드로이틴설페이트나트륨|벤포티아민|푸르설티아민|피리독신염산염|농축콜레칼시페롤산|메코발라민|셀레늄함유건조효모|산화아연,이 약은 육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민D|B1|B6의보급에사용합니다.이 약은  함유된비타민등을통해신경통|근육통|관절통(요통|어깨결림등)|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화에사용합니다.이 약은  함유된비타민등을통해뼈|이의발육불량|구루병의예방|각기|눈의피로에사용합니다.,만19세이상성인은1회1정씩|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콘센비타프리미엄정,γ오리자놀|푸르설티아민|니코틴산아미드|콜린타르타르산염|판토텐산칼슘|리보플라빈부티레이트|이노시톨|콘드로이틴설페이트나트륨|피리독신염산염|시아노코발라민1000배산,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후의체력저하시비타민B1|B2|B6의보급과신경통|근육통|관절통(요통|어깨결림등)증상의완화|각기|눈의피로에사용합니다.,만12세이상및성인은1회1정씩|1일1회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콘조탑골드600정,콘드로이틴설페이트나트륨|니코틴산아미드|푸르설티아민|이노시톨|콜린타르타르산염|판토텐산칼슘|시아노코발라민1000배산|피리독신염산염|리보플라빈|콜레칼시페롤과립|감마오리자놀,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민D|B1|B2|B6의보급과신경통|근육통|관절통(요통|어깨결림등)증상의완화| 각기|눈의피로에사용합니다.,만8세이상및성인은 1회1정씩|1일1회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콘조탑프리미엄600정,콘드로이틴설페이트나트륨|감마오리자놀|푸르설티아민|니코틴산아미드|이노시톨|콜린타르타르산염|판토텐산칼슘|시아노코발라민1000배산|피리독신염산염|리보플라빈|농축콜레칼시페롤,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민D|B1|B2|B6의보급및신경통|근육통|관절통(요통|어깨결림등)|각기|눈의피로의완화에사용합니다.,만8세이상및성인은1일1회|1회1정식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콘택골드캡슐,클로르페니라민말레산염|벨라돈나총알칼로이드|페닐레프린염산염,이 약은 코감기|알레르기성비염또는부비강염에의한코막힘|콧물|재채기|눈물|인후통|머리무거움완화에사용합니다.,만15세이상및성인은1회1캡슐씩| 만11세이상~만15세미만은1회2/3캡슐씩| 만8세이상~만11세미만은1회1/2캡슐씩|1일3회식후마다복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콘투락투벡스겔,헤파린나트륨|세파연조엑스(1.8→1)|알란토인,이 약은 수술|절단|화상|사고후의비대성및켈로이드성|운동제한성또는미용적피부손상시의상처및흉터|외상성경축|상흔성협착에사용합니다.,상처부위에충분히침투할때까지하루수회가볍게마사지합니다.갓생긴상처의경우|극도의추위|자외선|강한마사지등신체적자극을피하십시오.상처가심하거나오래된상흔일경우고정하여하루저녁을지내십시오.,상온(15~25ºC)에서보관하십시오.
콘트라민정,콘드로이틴설페이트나트륨|리보플라빈부티레이트|푸르설티아민|니코틴산아미드|판토텐산칼슘|피리독신염산염|이노시톨|시아노코발라민1000배산|감마오리자놀|콜린타르타르산염,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시비타민B1|B2|B6의보급|각기᠊눈의피로|신경통|근육통|관절통(요통|어깨결림등)의완화에사용합니다.,만8세이상및성인은1회1정씩|1일1회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콘트라스300연질캡슐,콘드로이틴설페이트나트륨|푸르설티아민|리보플라빈부티레이트|니코틴산아미드|판토텐산칼슘|피리독신염산염|시아노코발라민|토코페롤아세테이트|r오리자놀,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|노년기의비타민E|B1|B2|B6의보급과말초혈행장애및갱년기시어깨ㆍ목결림|수족저림ㆍ수족냉증(손발이차가움)증상의완화|신경통|근육통|관절통(요(허리)통|어깨결림등)증상의완화|각기|눈의피로|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화에사용합니다.,만8세이상및성인은1회1캡슐씩|1일2회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콘트로본600정,콘드로이틴설페이트나트륨|푸르설티아민|리보플라빈부티레이트|니코틴산아미드|피리독신염산염|판토텐산칼슘|시아노코발라민1000배산|이노시톨|콜린타르타르산염|r오리자놀,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후의체력저하시비타민B1|B2|B6의보급과신경통|근육통|관절통(요통|어깨결림등)의완화와각기|눈의피로에사용합니다.,만12세이상및성인은1회1정씩|1일1회식후복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콘티600정,γ오리자놀|푸르설티아민|니코틴산아미드|콜린타르타르산염|판토텐산칼슘|리보플라빈부티레이트|이노시톨|콘드로이틴설페이트나트륨|피리독신염산염|시아노코발라민1000배산,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후의체력저하시비타민B1|B2|B6의보급과신경통|근육통|관절통(요통|어깨결림등)증상의완화|각기|눈의피로에사용합니다.,만12세이상어린이및성인은1회1정씩|1일1회식후에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콘티박스디연질캡슐,콘드로이틴설페이트나트륨|푸르설티아민|니코틴산아미드|피리독신염산염|이노시톨|판토텐산칼슘|리보플라빈부티레이트|감마오리자놀|시아노코발라민,이 약은 육체피로|임신‧수유기|병중‧병후(병을앓는동안이나회복후)의체력저하시비타민B1|B2|B6의보급과신경통|근육통|관절통(요통|어깨결림등)증상의완화|각기|눈의피로|구각염(입꼬리염)|구순염(입술염)|구내염(입안염)|설염(혀염)|습진|피부염증상의완화에사용합니다.,성인및만8세이상어린이는1회1캡슐씩|1일2회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
콘티아민연질캡슐,콘드로이틴설페이트나트륨|푸르설티아민|리보플라빈부티레이트|니코틴산아미드|판토텐산칼슘|피리독신염산염|시아노코발라민|토코페롤아세테이트|γ오리자놀,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|노년기의비타민E|B1|B2|B6의보급과말초혈행장애및갱년기시어깨ㆍ목결림|수족저림ㆍ수족냉증(손발이차가움)증상의완화|신경통|근육통|관절통(요통|견통등)증상의완화|각기|눈의피로|구각염|구순염|구내염|설염|습진|피부염증상의완화에사용합니다.,만8세이상및성인은1회1캡슐씩|1일2회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
