제품명,업체명,주성분,이 약의 효능은 무엇입니까?,이 약은 어떻게 사용합니까?,이 약의 사용상 주의사항은 무엇입니까?,이 약을 사용하는 동안 주의해야 할 약 또는 음식은 무엇입니까?,이 약은 어떤 이상반응이 나타날 수 있습니까?,이 약은 어떻게 보관해야 합니까?
파라멜액(L-아스파르트산-L-오르니틴),(주)한국파마,L-아스파르트산L-오르니틴,이약은간경변과같은중증의간질환해독의보조치료에사용합니다.,1회2포(6g)씩|1일2회식후에복용합니다.,심한신부전환자(혈청크레아티닌수치?3mg/100mL이상)는이약을복용하지마십시오.이약을복용하기전에아세틸살리실산에과민증|황색5호에과민증환자또는경험자는의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.2주정도복용하여도증상의개선이없는경우복용을중지하고의사또는약사와상의하십시오.,-,천식등과민반응이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
파마메코발라민정(메코발라민),(주)한국파마,메코발라민,이약은말초성신경장애에사용합니다.,성인은1일3정(1|500㎍)을3회분할하여복용합니다.,이약에과민증환자|?갈락토오스불내성|Lapp유당분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는이약을복용하지마십시오.이약을복용하기전에임부|수유부는?의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.1개월정도복용하여도증상의개선이없거나악화될경우에는의사또는약사와상의하십시오.,클로람페니콜|아미노글리코사이드등을비롯한대부분의항생제|메토트렉세이트|피리메타민|콜키신|페니토인|페노바르비탈|프리미돈|파라아미노살리실산을복용|?H2?수용체길항제를장기복용하는환자|2주이상과량의알코올을섭취한사람은?의사또는약사와상의하십시오.,식욕부진|구역|설사|발진이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
브록솔정(암브록솔염산염),(주)휴비스트제약,암브록솔염산염,이약은점액분비장애로인한급·만성기관지염|천식성기관지염에사용합니다.,성인은1회1정(30mg)씩1일3회식사와관계없이복용합니다.계속치료시1회1정(30mg)씩1일2회복용합니다.,이약에과민증환자|?심한신장애|?심한간장애|?갈락토오스불내성|Lapp유당분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는이약을복용하지마십시오.이약을복용하기전에?신장애|?소화성궤양|임부|수유부|고령자는?의사또는약사와상의하십시오.,에리트로마이신|세팔렉신|옥시테트라사이클린|아목시실린|세퓨록심|독시사이클린등의항생제와함께복용시?의사또는약사와상의하십시오.,피부점막안증후군(스티븐스-존슨증후군)|독성표피괴사용해(리엘증후군)같은심각한피부손상|열|가려움|비염|기침및인후염과같은비특이적인플루엔자-유사전구증상|흔하게구역|흔하지않게구토|설사|소화불량|복통|가슴쓰림|구강건조|위부불쾌감|위·복부팽만감|변비|식욕부진|두드러기|피부발진|아나필락시스반응(아나필락시스쇼크포함)|두드러기모양홍반|혈관부종|가려움|기타다른과민반응|얼굴부기|호흡곤란|오한을수반한체온상승|백혈구증가를수반하는화농성비염|혀의감각이상|미각변화|구내마비감|팔의마비감등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
바실리스캡슐(바실루스리케니포르미스균),알리코제약(주),바실루스리케니포르미스균,이약은급ㆍ만성장염|급ㆍ만성설사|급성이질|각종원인에기인한장내이상발효에사용합니다.,성인은?1회2캡슐씩|?1일3회복용합니다.첫회에는4캡슐을복용하십시오.어린이는?1회1캡슐씩|?1일3회복용합니다.유아의경우캡슐?내용물을소량의물이나우유에타서복용할수있습니다.,갈락토오스불내성|Lapp유당분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는이약을복용하지마십시오.이약을복용하기전에3개월미만의영아는?의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.,시프로플록사신|이미페넴|실라스타틴나트륨과함께사용시의사또는약사와상의하십시오.,-,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
에코파워600정,(유)한풍제약,콘드로이틴설페이트나트륨|리보플라빈부티레이트|피리독신염산염|니코틴산아미드|판토텐산칼슘|감마오리자놀|티아민질산염|콜레칼시페롤농축분말|산화아연|시아노코발라민1000배산,이약은육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민B1|B2|B6|D의보급과신경통|근육통|관절통(요통|어깨결림등)증상의완화|각기|눈의피로|뼈|이의발육불량|구루병의예방과아연의보급에사용합니다.,만12세이상및성인은1회1정씩|1일1회식후에복용합니다.,고칼슘혈증|유육종증|신장질환|이약에과민증환자|만12개월미만의젖먹이|신장결석?환자는이약을복용하지마십시오.이약을복용하기전에만1세미만의젖먹이|햇빛을많이보고정상적인식사를하는어린이|임부및임신하고있을가능성이있는여성|수유부|미숙아|유아|심장·순환기계기능장애|신장장애|저단백혈증|신장결석경험자|폴산이부족한환자는의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.어린이에게투여할경우보호자의지도감독하에투여하십시오.요를황색으로변하게하여임상검사치에영향을줄수있습니다.1개월정도복용하여도증상의개선이없을경우복용을즉각중지하고의사또는약사와상의하십시오.,인산염|칼슘염|경구용테트라사이클린계제제|제산제|레보도파와함께?복용하지마십시오.항알도스테론제|?트리암테렌과함께복용시의사또는약사와상의하십시오.녹차|홍차등탄닌을함유하는차는복용중|복용전후에는피하십시오.,구역|구토|설사|묽은변|식욕부진|복부팽만감|위장관장애|소화장애|상복부통증|저혈압|폐부종|변비|홍반|두드러기|습진|발진|반구진성발진|가려움|부종|수분저류(신부전또는심부전환자)등이?나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
에스펜겔(디클로페낙나트륨),삼성제약(주),디클로페낙나트륨,이약은건|인대|근육및관절의외상성염증(삠|타박상등)|연조직류마티스의국소형(건초염|어깨손증후군|점액낭염|관절주위염등)|류마티스질환의국소형(말초관절및척추의골관절증등)의진통?소염에사용합니다.,통증부위의면적에따라2-4g을1일3-4회환부에바르고잘스며들도록가볍게문지릅니다.,이약에과민증환자|아스피린또는기타의비스테로이드성소염진통제에과민증이있는환자|아스피린또는기타의비스테로이드성소염진통제에대한천식또는그병력이있는환자|6세이하의유아|임신3기|수우부는?이약을사용하지마십시오.이약을사용하기전에기관지천식|프로필렌글리콜에과민증인환자|임신1기및2기|소아는의사또는약사와상의하십시오.병변이있는피부(출혈성피부질환|습진|감염된병변|화상|상처)|눈및점막부위에는사용하지마십시오.밀봉붕대법을사용하지마십시오.,-,때때로가려움|발적(충혈되어붉어짐)|쓰라림|피부염(발진|습진|피진(피부발진)|접촉성피부염(발적|붉은반점|발진|소양감(가려움)|동통(통증)등이나타나고종창(부기)|부종|수포|미란(짓무름)등으로악화될수있으며|이와같은증상이전신으로확대될수있음)|구진|부종(부기))|피부박탈및거칠어짐|자극감및수포형성|드물게색소침착등이나타나는경우즉각사용을중지하고의사또는약사와상의하십시오.,실온에서보관하십시오.
스파토민캡슐(디시클로민염산염),조아제약(주),디시클로민염산염,이약은위·십이지장궤양|위염|대장염|게실(곁주머니)염|경련성변비의경련완화에사용합니다.?,성인은1회1~2캡슐(10∼20mg)|1일3∼4회복용합니다.,이약에과민증환자|녹내장|전립샘비대에의한배뇨장애|심한증상의심질환|폐쇄성요로질환|유문협착등위장관폐색환자|마비성장폐색환자|장의무긴장증환자|급성출혈기의불안정한심혈관상태환자|6개월이하의영아|수유부|심한증상근육무력증|심한증상의궤양성대장염|거대결장환자|역류성식도염|갈락토오스불내성|Lapp유당분해효소결핍증또는포도당-갈락토오스흡수장애등의유전적인문제가있는환자는이약을복용하지마십시오.이약을복용하기전에자율신경병증|간·신질환|고혈압|갑상샘기능항진증|전립샘비대환자|심기능장애(관상동맥질환|울혈심부전|부정맥등)|고온환경에있는환자|궤양성대장염환자|고령자|임부|소아|황색5호과민증환자또는경험자는의사또는약사와상의하십시오.시각조절장애|졸음이나타날수있으므로운전및기계조작시주의하십시오.2주정도복용하여도증상의개선이없을경우복용을즉각중지하고의사또는약사와상의하십시오.?,페노티아진계약물|삼환계항우울약|MAO억제제|마약성진통제|부정맥용제|벤조디아제핀계약물과?함께복용시의사또는약사와상의하십시오.,때때로시각조절장애|동공확대|흐려보임|안내압항진|두통|두중|어지럼|졸음|실신|호흡곤란|코막힘|구갈|변비|?설사|묽은변|구역·구토|복부팽만|위부불쾌감|복통|소화불량|식욕부진|두근거림|부정맥|얼굴부종|혈관부종|아나필락시스성쇽증상|?배뇨장애|권태감|무력감드물게발진|가려움?등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,-
로시놀겔(테르비나핀),(주)녹십자,테르비나핀,이약은피부사상균에의한피부진균감염증(족부백선|고부백선(완선)|체부백선)과전풍에사용합니다.,적용전에환부(질환부위)를깨끗이씻고말린후감염부위및그주위에얇게1일1회적용합니다.간찰성감염(유방밑|손|발가락사이|둔부사이|서혜부)의경우|야간에는거어즈를덮어사용할수도있습니다.증상의경감은통상2~3일이내에나타나나보통치료기간은1주일입니다.,이약에과민증환자는이약을사용하지마십시오.이약을사용하기전에?프로필렌글리콜에과민증환자또는경험자|임부또는임신하고있을가능성이있는여성및수유부|어린이는?의사또는약사와상의하십시오.이약은외용으로만사용하십시오.눈주위에는사용하지마십시오.,-,적용부위에두드러기|발적|홍반|가려움|자극감등이나타날수있습니다.,30℃이하에서보관하십시오.
마그네비정,한미약품(주),산화마그네슘|토코페롤아세테이트2배산|벤포티아민|셀레늄가루0.1%|염화크롬수화물,이약은마그네슘결핍으로인한근육경련과육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|노년기의비타민E|B1의보급과말초혈행장애및갱년기시어깨·목결림|수족저림·수족냉증(손발이차가움)증상의완화|신경통|근육통|관절통(요통|어깨결림등)증상의완화|각기|눈의피로에사용합니다.,만12세이상및성인1회2정씩|1일1회또는1회1정씩|1일2회복용합니다.,이약에과민증환자|대두유과민증환자또는경험자|콩또는땅콩과민증환자|만12개월미만의젖먹이|심한증상의신부전환자는이약을복용하지마십시오.이약을복용하기전에임부및임신하고있을가능성이있는여성|수유부|미숙아|유아|소화성궤양|?만성궤양성대장염|국한성대장염등의위장질환환자|?심장?순환기계기능장애|?신장장애|?저단백혈증|?당뇨병환자|혈전성소인이있는환자|지방대사이상(고지단백혈증|당뇨병성고지질혈증및췌장염등)환자또는지질성유제를신중히투여해야하는환자|지방과부하로특별한위험이예상되는환자는의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.,인산염|칼슘염|경구용테트라사이클린계제제|제산제와함께?복용하지마십시오.에스트로겐을포함한경구용피임제|항알도스테론제|트리암테렌과함께복용시의사또는약사와상의하십시오.녹차|홍차등탄닌을함유하는차는복용중|복용전후에는피하십시오.,위부불쾌감|설사|변비|발진|발적|구역|구토|묽은변|붉은반점|부전수축(심장박동정지)|중추신경계기능저하|피부염|땀?호흡시악취|탈모|조급증|생리가예정보다빨라지거나양이점점많아지거나|출혈이오래지속되는등의증상이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
조인본골드정,(주)유한양행,산화마그네슘|벤포티아민|피리독신염산염97%과립|시아노코발라민100배산|농축콜레칼시페롤산|무수인산수소칼슘|콘드로이틴설페이트나트륨,이약은육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민B1|B6|D의보급과신경통|근육통|관절통(요(허리)통|어깨결림등)증상의완화|각기|눈의피로|뼈|이의발육불량|구루병의예방과칼슘결핍및기타칼슘의보급과마그네슘결핍으로인한근육경련에사용합니다.,만12세이상및성인1회1정씩|1일2회복용합니다.,이약에과민증환자|고칼슘혈증|유육종증|신장질환|만12개월미만의젖먹이|신장결석|심한증상의신부전환자는이약을복용하지마십시오.이약을복용하기전에임부및임신하고있을가능성이있는여성|수유부|미숙아|유아|심장?순환기계기능장애|신장장애|저단백혈증|강심배당체를투여중인환자|신장결석경험자|폴산이부족한환자는의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.1개월정도복용하여도증상의개선이없을경우복용을즉각중지하고의사또는약사와상의하십시오.,이약을복용하는동안인산염|칼슘염|경구용테트라사이클린계제제|제산제|레보도파를복용하지마십시오.강심배당체|항알도스테론제|트리암테렌과함께복용시의사또는약사와상의하십시오.녹차|홍차등탄닌을함유하는차는복용중|복용전후에는피하십시오.,구역|구토|설사|묽은변|변비|저혈압|얼굴달아오름|심박동불규칙|피부발진|붉은반점|부전수축(심장박동정지)|중추신경계기능저하|어지러움|얼굴?다리종창(부기)|식욕부진|홍반|두드러기|습진|발진|반구진성발진|가려움|부종(부기)|수분저류(신부전또는심부전환자)등의증상이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
아이톡점안액(트레할로스수화물)(1회용),광동제약(주),트레할로스수화물,이약은바람|연기|공해|먼지|건조한열|에어컨|항공여행|장시간컴퓨터사용으로인해발생하는눈의건조(불쾌감|찌르는듯한통증|자극)나눈의피로에사용합니다.,필요시각각의눈에1회1방울1일수회점안합니다.점안후남은액과용기는버립니다.,이약에과민증환자는이약을사용하지마십시오.이약을사용하기전에눈의통증이심한사람|?지금까지안약에의한알레르기증상(예를들어눈의충혈|가려움|부종|발진|충혈되어붉어짐등)을일으킨적이있는사람|?녹내장환자는?의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.이약은점안용으로만사용하십시오.사용하기전에손을철저히씻습니다.오염방지를위해공용하지마십시오.증상이악화되거나3일이상증상이지속되는경우사용을즉각중지하고의사또는약사와상의하십시오.,-,드물게눈자극이나타나는경우사용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
새로모아캡슐,(주)아리제약,약용효모|케라틴|티아민질산염|판토텐산칼슘|L-시스틴|p-아미노벤조산,이약은손상된모발|감염성이아닌손톱의발육부진|탈모의보조치료에사용합니다.,성인은1회1캡슐을1일3회|12세이상소아는식후1회1캡슐을1일1~2회식후에복용합니다.평균치료기간은3~6개월입니다.,이약에과민증환자|?12세미만소아|흉터로인한탈모|안드로젠유전성탈모증|남성형대머리에는이약을?복용하지마십시오.이약을복용하기전에임부또는임신하고있을가능성이있는여성및수유부는의사또는약사와상의하십시오.,설폰아미드제제와함께사용시의사또는약사와상의하십시오.,위장관불쾌감(위통|구토)|발한|빈맥|가려움|두드러기|두통|어지럼|홍조|두부이외의신체부위에서발모현상이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해25℃이하에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
러지엔톡액(세티리진염산염),대원제약(주),세티리진염산염,이약은계절성및다년성알레르기성비염(코염)|알레르기성결막염|만성특발성(원인불명)의두드러기|피부소양증(가려움증)에사용합니다.,성인및12세이상의소아는10mg씩|?1일1회?복용합니다.2~12세미만의소아는체중이30kg이상인경우에는10mg씩|체중이30kg미만인경우에는5mg씩|1일1회복용합니다.이상반응에민감한환자는아침|저녁으로분할복용할수있습니다.?연령|증상에따라적절히증감할수있습니다.신장애(신장장애)환자는신기능에따라용량이조절됩니다.이에따른용량및빈도는허가사항을참고하십시오.,이약및히드록시진또는피페라진유도체에과민증환자|신부전환자|임부및임신하고있을가능성이있는부인및수유부|2세미만의영아|과당불내성이라는드문유전적결함이있는환자는이약을복용하지마십시오.이약을복용하기전에신장애(신장장애)환자|간장애|노인|뇌전증환자및발작위험성이있는환자|소변고임의선행요인(척수병변(병에의한몸의변화)|전립선(전립샘)비대증)이있는환자는의사또는약사와상의하십시오.투여중에는수유를중단하십시오.알레르기항원피내반응검사를실시하기3~5일전에는이약을투여하지않는것이바람직합니다.복용후경계심감소및수행장애가나타날수있으므로운전및기계조작시주의하십시오.,?테오필린|리토나비어|과량의알코올과함께복용하지마십시오.,졸음|두통|혈관염|광과민증|현기증|관절통|인두염|기침|코피|기관지경련|청력이상|시각이상|때떄로BUN상승|당뇨|피섞인소변|드물게배뇨(소변을눔)곤란|야뇨증|소변고임?등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.이약투여중단후가려움증|두드러기가나타날수있습니다.,빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.개봉후3개월이상사용하지마십시오.
타이레놀정500밀리그람(아세트아미노펜),한국존슨앤드존슨판매(유),아세트아미노펜,이약은감기로인한발열및동통(통증)|두통|신경통|근육통|월경통|염좌통(삔통증)|치통|관절통|류마티양동통(통증)에사용합니다,만12세이상소아및성인은1회1~2정씩|1일3~4회(4~6시간마다)필요시복용합니다.이약은가능한최단기간동안최소유효용량으로복용하며|1일최대8정(4g)을초과하여복용하지않습니다.,이약에과민증|소화성궤양|심한혈액이상|?간장애|신장(콩팥)장애|?심장기능저하환자|아스피린천식(비스테로이드성소염(항염)제에의한천식발작유발)환자또는경험자|바르비탈계약물또는삼환계항우울제복용한환자|알코올을복용한사람|12세미만의소아는이약을복용하지마십시오.이약을복용하기전에과민증?경험자|간장애|신장(콩팥)장애|소화성궤양|혈액이상환자또는경험자|출혈경향|심장기능이상이있는환자|기관지천식환자|고령자(노인)|임부또는수유부|글루타치온보유량이낮은상태의환자는의사또는약사와상의하십시오.복용중에음주하지마십시오.,바르비탈계약물|삼환계항우울제및알코올을투여한환자|와파린|플루클록사실린을복용하는환자는의사또는약사와상의하십시오.,쇽증상(호흡곤란|온몸이붉어짐|혈관부기|두드러기등)|천식발작|혈소판감소|과립구감소|용혈성빈혈|메트헤모글로빈혈증|혈소판기능저하(출혈시간연장)|청색증|과민증상(얼굴부기|땀이남|저혈압)|구역|구토|식욕부진|위장출혈|소화성궤양|천공(뚦림)|발진|알레르기반응|피부점막안증후군(스티븐스-존슨증후군)|독성표피괴사증(리엘증후군)|AST상승|ALT상승|고정발진등이나타나는경우복용을즉각중지하고의사또는약사와상의하십시오.,실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
안티노을연질캡슐,(주)알피바이오,셀레늄함유건조효모|β-카로틴현탁액30%|아스코르브산|토코페롤,이약은육체피로|임신·수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시|노년기의비타민A|E|C의보급과눈의건조감의완화|야맹증(밤에잘못보는증상)|말초혈행장애및갱년기시어깨ㆍ목결림|수족저림·수족냉증(손발이차가움)|햇빛·피부병등에의한색소침착(기미|주근깨)의완화|잇몸출혈·비출혈(코피)예방에사용합니다.,만12세이상어린이및성인은1회1캡슐씩|1일1회식후에복용합니다.,이약또는대두유|콩|땅콩에과민증환자|?만12개월미만의젖먹이는이약을복용하지마십시오.이약을복용하기전에?임부또는임신하고있을가능성이있는여성및?수유부|미숙아|유아|고옥살산뇨증(뇨중에과량의수산염이배설되는상태)|소화성궤양|만성궤양성대장염|국한성대장염등의위장질환|심장ㆍ순환기계기능장애|신장장애|저단백혈증|통풍|신장결석|?고지단백혈증|당뇨병성고지질혈증및췌장염등지방대사이상환자또는?지질성유제를신중히투여해야하는환자|?혈전성소인이있는환자|황색5호과민증환자는의사또는약사와상의하십시오.정해진용법과용량을잘지키십시오.각종요검사시혈당의검출을방해할수있습니다.1개월정도복용하여도증상의개선이없을경우?복용을즉각중지하고의사또는약사와상의하십시오.,이약을복용하는동안인산염|칼슘염|경구용테트라사이클린계제제|제산제를함께복용하지마십시오.에스트로겐을포함한?경구용?피임제|항알도스테론제|트리암테렌|정주용지질제와함께사용시의사또는약사와상의하십시오.녹차|홍차등탄닌을함유하는차는복용중|복용전후에는피하십시오.,구역|구토|가려움|건조하고거친피부|통증성관절부종|설사|위부불쾌감|변비|발진|발적|피부염|땀ㆍ호흡시악취|탈모|조급증|생리가예정보다빨라지거나양이점점많아지고|출혈이오래지속되는경우?복용을즉각중지하고의사또는약사와상의하십시오.,습기와빛을피해실온에서보관하십시오.어린이의손이닿지않는곳에보관하십시오.
